tract,green_space_fraction,mean_ndvi,count
100100,0.20498315790546173,-0.1350291669368744,3282138
100200,0.16191151200373669,-0.05971565470099449,5719290
100300,0.25202079420487905,-0.010138063691556454,6468992
100400,0.194281820291846,-0.08125557005405426,2697550
100500,0.15005742544264936,-0.09076666831970215,5598564
100600,0.2473339701183291,-0.12971141934394836,3560285
100700,0.2587258265426128,-0.10628063231706619,3373318
10100,0.19688084016336332,-0.10776194930076599,970552
10201,0.28639698979047085,-0.0744619145989418,1400264
10202,0.22383175569344066,-0.10865021497011185,975007
10300,0.21168935643157322,-0.10197815299034119,1161641
10400,0.12226859950235831,-0.07830191403627396,1043712
10501,0.1588145080898704,-0.15092924237251282,561112
10502,0.22201654411764707,-0.13444828987121582,501374
10503,0.19662549566672138,-0.14503653347492218,540576
10600,0.22210475999794543,-0.0763985812664032,1374046
10701,0.3860974091344392,0.04055560752749443,1192766
10702,0.17557256203927749,-0.17573368549346924,992471
110100,0.13734666657778577,-0.035241417586803436,5119557
110200,0.07233746657813986,-0.19292953610420227,1655077
110300,0.226730108450553,-0.1294238418340683,3360615
110400,0.1448546921882579,-0.14773651957511902,2592574
110501,0.19782719068663204,-0.1278141736984253,2197393
110502,0.19965830109158114,-0.14237342774868011,1804493
120100,0.23080002350835685,0.11144896596670151,9265038
120200,0.25327051705995957,0.06627267599105835,7319922
120300,0.27269841619173296,-0.016596360132098198,5707603
120400,0.1865634541286273,-0.012534035369753838,2955370
130100,0.29724876956902974,0.0054190875962376595,5013412
130200,0.2819208734870837,0.08617597073316574,5771040
130300,0.2820719736416083,-0.0636410191655159,1911032
140100,0.12138659124341568,-0.14175249636173248,668561
140200,0.13160076054187586,-0.16553035378456116,1085138
140301,0.17924774687988354,-0.17706646025180817,455545
140302,0.24854203615230414,-0.0886492058634758,1151261
140400,0.20847569603256755,-0.1288117915391922,3279837
140500,0.14176966649472444,-0.14905574917793274,1256884
140601,0.21139063719527415,-0.14174431562423706,755366
140602,0.19860998454589698,-0.14708152413368225,1066943
140701,0.09743344526656648,-0.2082187831401825,633839
140702,0.18542795115723879,-0.14296402037143707,1185535
140800,0.17597679518902298,-0.12766827642917633,1887177
150200,0.22237346973420735,-0.1313089281320572,3682946
150300,0.25925341760405585,-0.10200772434473038,3682097
150401,0.17770433528021137,-0.1598871350288391,2048655
150402,0.17601596244321951,-0.1648217886686325,1839107
150501,0.24345973755319444,-0.12038867920637131,1939755
150502,0.23133298350583448,-0.13880200684070587,1900256
150600,0.21136758274738468,-0.15203985571861267,1821344
150700,0.20440347871947906,-0.168428435921669,1838770
150800,0.19622074940640183,-0.16865189373493195,1834947
151001,0.22323379807555066,-0.1544051319360733,917086
151002,0.17593571545113396,-0.17837564647197723,1768597
151100,0.20540166691690653,-0.16926145553588867,1834412
151200,0.1627881819301562,-0.18917381763458252,1819822
160100,0.2649215716628732,-0.07774098962545395,1647753
160200,0.1143672727372186,-0.1283351480960846,2656168
160300,0.20267231616097767,-0.152692973613739,1182992
160400,0.24360806835496088,-0.1279086470603943,1824655
160501,0.18922743657184948,-0.15736888349056244,958359
160502,0.1818712479449047,-0.1667431741952896,862951
160601,0.18022120873531036,-0.16565603017807007,910418
160602,0.23759141753006527,-0.03384273126721382,1530889
160700,0.16586288740543367,-0.16306191682815552,2084219
160800,0.17613804999868507,-0.16905605792999268,1825440
160900,0.29757477906729984,-0.08438064157962799,1825725
161000,0.290440007591012,-0.08967770636081696,1183862
161100,0.2742370847120479,-0.09110821783542633,1601096
161200,0.22805226362552738,-0.11993441730737686,1438636
161300,0.15700259485237394,-0.1763826161623001,1382395
170100,0.2137655913189818,-0.07918567210435867,2816543
170200,0.2170412358103954,-0.15852800011634827,1812741
170300,0.3055784023300391,-0.08241841197013855,3883138
170400,0.21653155579495467,-0.14565490186214447,2138112
170500,0.2686566438087051,-0.001218853984028101,4273521
170600,0.26728611026603116,-0.0974237322807312,1572633
170700,0.25435989491078115,-0.11610764265060425,1610270
170800,0.2256508807399311,-0.13542087376117706,2030275
170900,0.22276579693499557,-0.13852384686470032,889879
171000,0.21760918243330304,-0.145284965634346,3871159
171100,0.1885364960276862,-0.17328280210494995,1849114
180100,0.21129250021776372,-0.15108652412891388,2965642
190100,0.13482473394151884,-0.21484141051769257,877599
